arm,name,accepted,correct,coverage,incorrect,precision,recall,correct_edge,unsupported_edge,wrong_polarity,no_information,abstain,error,recorded_calls,recorded_input_tokens,input_tokens_per_correct_edge
baseline_choice,Generic Choice,224,187,0.6607669616519174,37,0.8348214285714286,0.8947368421052632,187,27,10,114,0,1,339,258495,1382.326203208556
fewshot_contract,Few-shot contract,192,172,0.5663716814159292,20,0.8958333333333334,0.8229665071770335,172,13,7,145,0,2,339,1213458,7054.988372093023
mean_pool,Probability average,206,179,0.6076696165191741,27,0.8689320388349514,0.8564593301435407,179,19,8,130,0,3,678,1471953,8223.201117318436
agreement_gate,Agreement gate,190,171,0.56047197640118,19,0.9,0.8181818181818182,171,13,6,113,33,3,678,1471953,8607.912280701754
stacked,Calibration stacker,212,177,0.6253687315634219,35,0.8349056603773585,0.84688995215311,177,21,14,124,0,3,678,1471953,8316.118644067798
