name,k,delta,draws,units,left_correct,right_correct,interval_low,interval_high
Same identity: selected - generic,351,0.005698005698005715,1000,413,347,349,0.0,0.01464615192169372
Support link: selected - generic,118,0.008474576271186418,1000,247,109,110,-0.027080858202213228,0.04824722357275675
Few-shot contract - Generic Choice,192,0.00520833333333337,2000,247,171,172,-0.019380185109555012,0.030145377904554304
Probability average - Few-shot contract,192,-0.00520833333333337,2000,247,172,171,-0.027070984953205375,0.014935599961706982
Agreement gate - Few-shot contract,190,0.0,2000,247,171,171,-0.013890422769898426,0.013683285713158173
Calibration stacker - Few-shot contract,192,-0.01041666666666674,2000,247,172,170,-0.03892691349599648,0.018920760149083865
