arm,candidates,accepted,correct,coverage,incorrect,precision,recall,macro_f1,errors,abstentions
baseline_choice,339,224,187,0.6607669616519174,37,0.8348214285714286,0.8947368421052632,0.8508243643054886,1,0
fewshot_contract,339,192,172,0.5663716814159292,20,0.8958333333333334,0.8229665071770335,0.8527279258098224,2,0
mean_pool,339,206,179,0.6076696165191741,27,0.8689320388349514,0.8564593301435407,0.8537586791318135,3,0
agreement_gate,339,190,171,0.56047197640118,19,0.9,0.8181818181818182,0.847081013475349,3,33
stacked,339,212,177,0.6253687315634219,35,0.8349056603773585,0.84688995215311,0.8342198483930767,3,0
